title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
아디다스 X 크레이지패스트 메시1 FG ,309000,119000,"합성가죽, 니트",천연잔디,4.0,2.0,184,https://www.crazy11.co.kr/shopimages/winv007/001005003057.jpg?1740624511,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=805063&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=Zmh3UFg%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 엘리트 AG ,309000,139000,"합성가죽, 니트",인조잔디,3.0,3.0,178,https://www.crazy11.co.kr/shopimages/winv007/001005003090.jpg?1740624488,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806191&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bm18W15E,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 엘리트 FG ,309000,139000,"합성가죽, 니트",천연잔디,4.0,4.0,182,https://www.crazy11.co.kr/shopimages/winv007/001005003137.jpg?1740624458,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806897&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=aGt3U1o%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 엘리트 HG ,309000,149000,"합성가죽, 니트",맨땅,4.0,2.0,212,https://www.crazy11.co.kr/shopimages/winv007/001005003136.jpg?1740624457,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806883&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=Zmx3U1s%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 엘리트 LL FG ,319000,129000,"합성가죽, 니트",천연잔디,4.0,2.0,177,https://www.crazy11.co.kr/shopimages/winv007/001005003138.jpg?1740624458,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806898&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=b2V%2FVA%3D%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트 클럽 FxG ,79000,39000,"합성가죽, 니트","천연잔디, 인조잔디, 맨땅",3.0,2.0,247,https://www.crazy11.co.kr/shopimages/winv007/001005003103.jpg?1740624480,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806244&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bm93UF8%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트+ FG  ,369000,289000,"인조가죽, 합성가죽",천연잔디,4.0,2.0,160,https://www.crazy11.co.kr/shopimages/winv007/001005003146.jpg?1740624459,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806950&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=aGl3UFU%3D,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트1 AG ,309000,149000,"합성가죽, 니트",인조잔디,4.0,2.0,181,https://www.crazy11.co.kr/shopimages/winv007/001005003071.jpg?1740624503,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=805405&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bmp5W19A,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트1 FG ,309000,139000,"합성가죽, 니트",천연잔디,4.0,2.0,,https://www.crazy11.co.kr/shopimages/winv007/001005003051.jpg?1745914310,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=804912&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bm11W15A,X,adidas,X,X,FW, MF,,speed
아디다스 X 크레이지패스트1 LL FG ,319000,129000,"합성가죽, 니트",천연잔디,4.0,2.0,176,https://www.crazy11.co.kr/shopimages/winv007/001005003044.jpg?1740624508,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=804864&xcode=257&mcode=002&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bmp6W15C,X,adidas,X,X,FW, MF,,speed
